,comment,author,posted_date,num_likes
30,"앳된 얼굴, desk 라인, 포체티노 등.. 골 마다 있었던 그때 그시절의 특징과 추억들이 떠오른다... 벌써 선수시절의 후반기...마치 인생을 되돌아 보는 것 같아 마음이 애리다...",si,5 days ago (edited),2
31,실력뿐만아니라 타고난 스타성과 인기 그리고 친화력 태도 인성 스타성 화제성까지 전부 다 충족시켜주는 이런 선수가 한국에서 또 언제 나올까 싶다..  실력만 뛰어나선 이런 스타성이 안따라옴 괜히 스타플레이어가 아님 이런 모든 박자를 다 가진 선수랑 같은 시대에 태어나서 실시간으로 경기하는걸 볼수 있다는거에 감사함  한두시즌 활약하기도 살아남기도 힘든 최고의 리그에서 아시아 선수출신 치고가 아닌 서양남들 사이에서도 탑을찍고 득점왕까지 하고 선발만 안나와도 현지서 엄청난 화제에 카메라도 내내  손흥민만 잡는것만 봐도 알수있지...그래서 흐르는 시간이 너무 아깝다 앞으로 이정도로 모든방면에 흐믓함을 선사할 선수가 언제나올지..ㅠㅠ,mejuda,1 month ago,196
32,41호골까지 봤는데 이런선수가 한국에서 또 나올까 싶다..손웅정감독님!! 손흥민 월클 맞습니다!!,KJH,1 day ago,2
33,와 16 17 시즌부터 이렇게 잘했었구나 골들 하나하나가 다 레전드네 엄청난 선수다,삼위일체Tv,9 hours ago,1
34,"100호골을
앞두고,
이 영상을 보고있으니...
뭉클하고, 다시한번 대단한 선수인걸
깨닫고 있네요.
젊은시절 쏜선수의 얼굴을 보니.,.
시간 참 빠르네요.",하비스,4 weeks ago,2
35,노리치전 마지막골 노리치 팬들 박수쳐주는거 되게 감동이네..,대어,2 weeks ago,7
36,손흥민 선수 골 볼때마다 가슴이 뻥 뚫립니다,로또야,1 month ago,2
37,"정말 아시아에 이런 공격수가 다시 나올까 싶다. 미토마가 떠오르고 있긴 하지만 손흥민도 그 나이엔 토트넘에서 열몇골씩 박고 올해의 선수까지 달았었으니.. 매년 자신의 약점을 고쳐나가며 성장하고, 현재는 epl의 대표하는 공격수가 되었다는게 정말 대단하고 존경스럽다. 5시즌이 넘도록 매년 10골씩 박는 공격수는 흔치 않은데.. 비록 팀이 토트넘이라 케인이랑 손잡고 무관커리어를 행진 중이지만 이미 월드클래스 공격수라는 것은 많은 사람들이 인정할 것임. 비록 올해 전술적인 문제와 부상 때문도 있지만 올해 전반적으로 조금 부진한 모습을 보여주고 있지만 손흥민은 언제나 우리에게 보여주었고, 올해를 그냥 이렇게 끝내지 않을거라 생각하고 끝까지 믿는다!! 늘 우리에게 즐거움을 선사해주셔서 고맙습니다 손흥민선수",이원준,1 month ago,159
38,100년에 한명 나올까 말까하는 인재!! 전설이 될 듯~,분홍감자,1 month ago,4
39,"보고 있자니 눈물이 나네요 ㅠ.ㅜ

이렇게 잘했었구나...",이겼다,1 month ago,2
40,"뒤늦게 축구에 대해 관심이 생기며 작년부터 보고 득점왕까지 너무 좋았는데 
지금 주춤한게 아쉬울따름. 골들 보면 진짜 웅장할정도의 골들도 많은데..",킁__,1 month ago,1
41,보면서 울컥울컥 했네요.. 케인이랑 호흡이 너무좋다,이명구,3 days ago,0
